STATION,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN
USC00441593,2020-06-03,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.0,55.9
USC00441593,2020-06-04,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,91.9,72.0
USC00441593,2020-06-05,"CHARLOTTESVILLE 2 W, VA US",3.0,0.0,0.0,90.0,68.0
USC00441593,2020-06-06,"CHARLOTTESVILLE 2 W, VA US",76.0,0.0,0.0,87.1,68.0
USC00441593,2020-06-07,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,89.1,66.0
USC00441593,2020-06-08,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.9,61.0
USC00441593,2020-06-09,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,82.9,62.1
USC00441593,2020-06-10,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,87.1,66.0
USC00441593,2020-06-11,"CHARLOTTESVILLE 2 W, VA US",165.0,0.0,0.0,89.1,72.0
USC00441593,2020-06-12,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,84.9,64.9
USC00441593,2020-06-13,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,84.0,60.1
USC00441593,2020-06-14,"CHARLOTTESVILLE 2 W, VA US",8.0,0.0,0.0,78.1,59.0
USC00441593,2020-06-15,"CHARLOTTESVILLE 2 W, VA US",0.0,0.0,0.0,73.0,57.9
USC00441593,2020-06-16,"CHARLOTTESVILLE 2 W, VA US",5.0,0.0,0.0,66.9,59.0
USC00441593,2020-06-17,"CHARLOTTESVILLE 2 W, VA US",124.0,0.0,0.0,66.0,57.0
USC00441593,2020-06-18,"CHARLOTTESVILLE 2 W, VA US",127.0,0.0,0.0,66.0,57.9
USC00441593,2020-06-19,"CHARLOTTESVILLE 2 W, VA US",20.0,0.0,0.0,77.0,63.0
USC00441593,2020-06-20,"CHARLOTTESVILLE 2 W, VA US",76.0,0.0,0.0,80.1,64.0
